縣市,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易年份,交易月份,交易筆棟數,總樓層數,建物型態,建築完成年月,建築完成年份,建物移轉總面積平方公尺,總價元,單價元平方公尺,屋齡
高雄市,鳳山區,房地(土地+建物),95.38,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,239.01,15600000,65269,0
高雄市,鳳山區,房地(土地+建物),78.67,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,217.65,14200000,65242,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13200000,63370,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13000000,62410,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070405,107,4,土地1建物1車位0,四層,透天厝,1070104,107,229,15600000,68122,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070104,107,229,15880000,69345,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13280000,63754,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13150000,63130,0
高雄市,鳳山區,房地(土地+建物),76.84,住,1070501,107,5,土地1建物1車位0,四層,透天厝,1070104,107,217.21,13160000,60587,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070602,107,6,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13260000,63658,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070603,107,6,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13200000,63370,0
高雄市,鳳山區,房地(土地+建物),73.7,住,1070703,107,7,土地1建物1車位0,四層,透天厝,1070104,107,208.3,15450000,74172,0
高雄市,鳳山區,房地(土地+建物),79.97,住,1070705,107,7,土地1建物1車位0,四層,透天厝,1070104,107,225.84,13000000,57563,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070811,107,8,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12700000,60970,0
高雄市,林園區,房地(土地+建物),75,住,1070624,107,6,土地1建物1車位0,四層,透天厝,1070108,107,195.86,9800000,50036,0
高雄市,林園區,房地(土地+建物),79,住,1070804,107,8,土地1建物1車位0,四層,透天厝,1070108,107,199.5,9500000,47619,0
高雄市,林園區,房地(土地+建物),74,住,1071007,107,10,土地1建物1車位0,四層,透天厝,1070108,107,195.86,9500000,48504,0
